Time,QuadX,QuadY,QuadZ,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 4:26:59 PM,-208.7021,-0.0332073048,-0.4333127,1.426517,1.82046175,0.546832263,322.8715,49.6664047,357.6309,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63345468,0.7351816,2.08514643,1.10883951,39.308506,271.909729
3/9/2023 4:26:59 PM,-208.7021,-0.0341113769,-0.433418155,1.426517,1.82046175,0.546832263,327.137,39.9167328,1.18531215,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63354778,0.735141158,2.08516264,1.433627,39.04767,271.477539
3/9/2023 4:26:59 PM,-208.7021,-0.0324312523,-0.433207452,1.426517,1.82046175,0.546832263,328.2096,33.89765,358.4846,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63245821,0.735385656,2.08521533,0.8395474,39.2248573,272.2542
3/9/2023 4:26:59 PM,-208.7021,-0.03213907,-0.4327914,1.426517,1.82046175,0.546832263,330.0201,23.0623589,359.6704,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.6333791,0.7351254,2.08528614,1.457759,38.98489,271.451874
3/9/2023 4:26:59 PM,-208.702118,-0.0320727,-0.431784272,1.426517,1.82046175,0.546832263,330.1653,15.31674,0.668870747,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63268554,0.735383,2.08520961,1.156503,39.2419,271.880066
3/9/2023 4:26:59 PM,-208.702118,-0.0319419876,-0.4326669,1.426517,1.82046175,0.546832263,329.979858,11.5172215,0.8447612,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.633132,0.7353037,2.08496785,1.19707942,39.12721,271.687561
3/9/2023 4:27:00 PM,-208.7021,-0.0326371938,-0.432124466,1.426517,1.82046175,0.546832263,328.5363,0.5471814,1.71022427,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63222218,0.735402346,2.08525634,1.16053879,38.6778679,271.704956
3/9/2023 4:27:00 PM,-208.7021,-0.0319564641,-0.432554275,1.426517,1.82046175,0.546832263,331.595245,350.995178,0.8176713,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63314545,0.7353318,2.08512068,1.14344442,38.93053,271.7096
3/9/2023 4:27:00 PM,-208.7021,-0.0323999524,-0.433004081,2.959848,1.76238191,1.52417481,329.46756,340.8842,1.51798618,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63237953,0.7354685,2.08514667,1.15645349,38.57523,271.581116
3/9/2023 4:27:00 PM,-208.7021,-0.03176388,-0.433371872,2.976443,1.74617231,1.60463333,325.6395,329.473663,5.103043,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63290048,0.7353813,2.08518386,1.26587367,38.8192024,271.5454
